Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Joe Gomez,Liverpool FC,ENG,DF,23,7,6,590,0,0,532,90.2,0,0,0,0,0,0
Xherdan Shaqiri,Liverpool FC,SUI,"MF,FW",28,14,5,556,0,2,426,83.6,0,0,0.06,0.49,2,0
Virgil van Dijk,Liverpool FC,NED,DF,29,5,5,370,1,0,329,90,0,0,0.08,0,1,0
Adrián,Liverpool FC,ESP,GK,33,3,3,270,0,0,99,76.8,0,0,0,0,0,0
Neco Williams,Liverpool FC,WAL,DF,19,6,3,249,0,0,213,73.2,0,0,0.03,0.1,1,0
Takumi Minamino,Liverpool FC,JPN,"MF,FW",25,9,2,293,1,0,139,79.9,0,0,0.2,0,0,0
Alex Oxlade-Chamberlain,Liverpool FC,ENG,"FW,MF",26,13,2,253,1,1,138,75.4,0,0,0.13,0.08,0,0
Divock Origi,Liverpool FC,BEL,FW,25,9,2,186,0,0,60,76.7,0,0,0.47,0.11,0,0
Caoimhín Kelleher,Liverpool FC,IRL,GK,21,2,2,180,0,0,62,82.3,0,0,0,0,0,0
Kostas Tsimikas,Liverpool FC,GRE,DF,24,2,0,7,0,0,8,75,0,0,0,0,0,0
